Construction,Russian,Arabic,Guarani,Estonian,Tsaxur,Tuvan,Ingerm,Basque,French,German,Bagwalal,Japanese,Lithuanian,Kalmyk,Khmer,Bashkir,Latvian,Guro,Looma,Lezgi,GreekModern,GreekAncientr,Albanian,Spanish,Irish,Armenian,Azerbaijani,RomaniKalderash,English,MandarinChinese,Polish,Dutch,Italian,Komi.Zyrian,Ossetic,Serbian,Chukchee,NorwegianBokm
feel_pain,intr,unknown,unknown,intr,unknown,intr,intr,unknown,intr,intr,intr,intr,intr,unknown,tr,intr,intr,intr,intr,unknown,intr,tr,intr,intr,unknown,unknown,intr,intr,unknown,unknown,intr,unknown,intr,intr,intr,intr,intr,unknown
have#illness#,intr,intr,unknown,unknown,unknown,unknown,intr,tr,tr,intr,intr,intr,intr,intr,unknown,intr,intr,intr,intr,intr,unknown,tr,unknown,unknown,intr,intr,intr,intr,unknown,tr,intr,unknown,unknown,intr,intr,unknown,unknown,tr
be_afraid,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,unknown,intr,intr,tr,intr,intr,intr,intr,intr,tr,tr,intr,tr,intr,intr,intr,intr,intr,tr,intr,intr,intr,intr,intr,intr,intr,intr
throw,tr,tr,tr,unknown,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr
have_enough,intr,intr,intr,intr,intr,intr,intr,unknown,unknown,intr,unknown,intr,intr,intr,unknown,intr,intr,intr,unknown,intr,intr,intr,intr,intr,unknown,intr,intr,intr,unknown,unknown,intr,unknown,intr,intr,intr,unknown,intr,unknown
resemble,intr,tr,unknown,intr,unknown,intr,unknown,unknown,intr,intr,intr,intr,intr,tr,intr,intr,tr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,tr,intr,intr,intr,intr,tr,intr,intr,intr
believe,intr,tr,intr,unknown,unknown,intr,intr,intr,tr,intr,intr,tr,intr,intr,intr,intr,intr,intr,intr,intr,tr,intr,intr,intr,intr,intr,intr,intr,tr,tr,intr,tr,intr,intr,intr,intr,intr,intr
take,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr
see,tr,tr,tr,intr,intr,tr,tr,tr,tr,tr,intr,intr,tr,tr,tr,tr,tr,tr,tr,intr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr
influence,intr,intr,unknown,intr,unknown,intr,unknown,intr,intr,tr,unknown,intr,tr,tr,unknown,intr,tr,unknown,unknown,intr,tr,intr,intr,intr,intr,intr,intr,intr,tr,tr,intr,intr,tr,intr,intr,intr,tr,intr
encounter,intr,intr,tr,intr,intr,intr,intr,tr,tr,intr,intr,intr,intr,intr,intr,tr,intr,intr,tr,intr,intr,intr,intr,intr,intr,tr,intr,intr,intr,tr,tr,tr,tr,intr,intr,tr,intr,intr
enter,intr,tr,intr,intr,intr,intr,unknown,intr,intr,intr,unknown,intr,intr,intr,intr,intr,intr,intr,unknown,intr,intr,intr,intr,intr,intr,intr,intr,intr,tr,tr,intr,tr,intr,intr,intr,intr,intr,intr
win,intr,unknown,unknown,tr,intr,tr,intr,intr,unknown,unknown,intr,intr,intr,tr,tr,tr,tr,intr,unknown,intr,tr,tr,intr,tr,intr,tr,intr,intr,tr,tr,intr,intr,intr,tr,tr,tr,intr,intr
go_outr,intr,intr,intr,intr,intr,intr,unknown,intr,intr,intr,unknown,intr,intr,intr,intr,intr,intr,intr,unknown,intr,intr,intr,intr,intr,intr,intr,intr,intr,unknown,tr,intr,tr,intr,intr,intr,intr,intr,intr
drive,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,intr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr
bend,tr,tr,unknown,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr
tell,intr,intr,unknown,intr,unknown,intr,intr,intr,intr,intr,intr,intr,intr,intr,unknown,intr,tr,intr,intr,intr,intr,intr,intr,intr,intr,intr,tr,intr,tr,intr,intr,intr,intr,intr,intr,intr,tr,intr
hold,tr,tr,tr,intr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,unknown,tr,tr,tr,tr,tr,tr,intr,tr,tr,tr,tr,tr,tr,tr,tr,tr,intr,tr,tr,tr
catch_up,tr,intr,tr,intr,unknown,intr,tr,tr,tr,tr,tr,intr,tr,tr,unknown,unknown,tr,intr,tr,intr,tr,tr,tr,tr,intr,intr,intr,tr,intr,tr,tr,tr,tr,tr,tr,tr,tr,tr
milk,tr,tr,tr,intr,tr,tr,tr,tr,tr,tr,tr,unknown,tr,tr,tr,tr,tr,unknown,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,intr,tr,tr,tr,tr,tr,tr,tr,tr
reach,intr,tr,tr,intr,unknown,intr,intr,intr,tr,tr,intr,intr,tr,intr,tr,unknown,tr,intr,unknown,intr,intr,tr,tr,tr,tr,intr,intr,intr,tr,tr,intr,tr,intr,intr,intr,intr,intr,intr
touch,intr,tr,tr,intr,intr,intr,intr,tr,tr,tr,intr,intr,tr,tr,tr,intr,intr,intr,intr,intr,tr,intr,tr,tr,tr,intr,intr,tr,tr,tr,intr,tr,tr,intr,intr,tr,tr,intr
fightr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,unknown,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr
be_friends,intr,tr,unknown,intr,unknown,intr,intr,unknown,intr,intr,unknown,intr,intr,intr,intr,intr,intr,unknown,unknown,intr,unknown,intr,intr,unknown,unknown,intr,intr,intr,intr,intr,intr,intr,unknown,intr,intr,intr,intr,intr
think,intr,intr,unknown,intr,intr,intr,intr,intr,intr,intr,intr,tr,intr,tr,intr,intr,intr,unknown,intr,intr,tr,tr,intr,intr,intr,intr,intr,intr,intr,tr,intr,intr,intr,intr,intr,intr,intr,intr
eatr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,unknown,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr
fry,tr,tr,unknown,tr,unknown,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr
waitr,tr,tr,tr,intr,tr,tr,intr,intr,tr,intr,unknown,tr,intr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,intr,tr,tr,tr,intr,tr,intr,intr,tr,tr,intr,tr,tr,intr
forgetr,intr,tr,intr,tr,intr,intr,tr,intr,tr,tr,intr,tr,intr,intr,tr,tr,intr,unknown,intr,unknown,tr,intr,intr,intr,intr,intr,tr,intr,intr,tr,intr,tr,intr,intr,tr,intr,tr,tr
depend,intr,intr,intr,intr,unknown,intr,intr,intr,intr,intr,unknown,intr,intr,unknown,intr,intr,intr,intr,unknown,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,tr,intr,intr,intr,unknown,intr,intr,unknown,intr
call,tr,tr,tr,tr,tr,tr,tr,intr,tr,tr,tr,tr,tr,tr,unknown,tr,tr,tr,tr,intr,tr,tr,tr,tr,intr,tr,tr,tr,tr,tr,tr,tr,tr,tr,intr,tr,tr,intr
get_to_know,intr,intr,unknown,intr,intr,intr,intr,tr,unknown,tr,unknown,intr,intr,intr,unknown,intr,intr,tr,tr,intr,intr,unknown,intr,tr,intr,intr,intr,intr,tr,intr,intr,intr,unknown,intr,intr,tr,tr,intr
know,tr,tr,tr,intr,tr,tr,tr,tr,tr,tr,intr,tr,tr,tr,tr,tr,tr,tr,tr,intr,tr,tr,tr,tr,intr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr
play#instrument#,intr,intr,unknown,intr,tr,intr,intr,tr,intr,intr,unknown,tr,intr,tr,tr,intr,tr,tr,tr,tr,tr,unknown,intr,tr,tr,intr,unknown,intr,tr,tr,intr,tr,tr,intr,intr,tr,unknown,intr
avoid,intr,tr,unknown,intr,unknown,intr,intr,intr,tr,tr,unknown,tr,intr,tr,unknown,intr,intr,intr,tr,intr,tr,tr,intr,tr,tr,intr,intr,intr,tr,tr,intr,tr,tr,intr,intr,tr,tr,tr
make,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr
make_fun,intr,intr,unknown,intr,unknown,tr,tr,intr,intr,intr,unknown,tr,intr,tr,unknown,intr,intr,unknown,intr,intr,tr,tr,intr,intr,tr,tr,tr,unknown,tr,tr,intr,tr,tr,intr,intr,tr,intr,tr
have,intr,intr,tr,unknown,unknown,intr,intr,tr,tr,tr,unknown,tr,tr,intr,tr,intr,intr,intr,intr,intr,tr,tr,tr,tr,intr,tr,intr,intr,tr,tr,tr,tr,tr,intr,intr,tr,intr,tr
look_for,tr,intr,tr,intr,tr,tr,intr,tr,tr,tr,tr,tr,intr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,intr,tr,intr,tr,tr,tr,tr,tr,tr,intr
paintr,tr,tr,unknown,tr,tr,tr,tr,tr,tr,tr,unknown,tr,tr,tr,tr,tr,tr,intr,tr,intr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr
bite,tr,tr,tr,tr,tr,tr,intr,tr,tr,tr,tr,tr,intr,tr,tr,tr,intr,intr,tr,tr,tr,tr,tr,tr,intr,tr,tr,tr,tr,tr,tr,tr,tr,tr,intr,tr,tr,tr
forfeitr,intr,tr,unknown,intr,unknown,intr,tr,tr,intr,tr,unknown,tr,intr,intr,unknown,intr,tr,intr,intr,intr,unknown,intr,tr,tr,tr,intr,tr,tr,tr,tr,tr,unknown,unknown,intr,intr,unknown,unknown,tr
try_to_catch,tr,tr,unknown,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,unknown,tr,tr,tr,tr,tr,tr,tr,unknown,unknown,tr,tr,tr,unknown,tr,tr,unknown,unknown,unknown,tr,tr,tr,tr
break,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr
flatter,intr,tr,tr,unknown,unknown,intr,unknown,tr,tr,intr,unknown,intr,intr,unknown,tr,intr,intr,unknown,unknown,intr,tr,tr,intr,tr,unknown,intr,intr,unknown,tr,tr,intr,tr,tr,intr,intr,intr,intr,tr
love1,tr,tr,tr,intr,intr,intr,intr,tr,tr,tr,intr,unknown,tr,tr,tr,tr,tr,unknown,intr,intr,tr,tr,tr,tr,intr,tr,tr,intr,tr,tr,tr,intr,tr,tr,tr,tr,tr,tr
wave,intr,intr,unknown,intr,unknown,intr,intr,tr,tr,tr,tr,tr,intr,intr,tr,tr,intr,tr,tr,tr,intr,tr,tr,tr,tr,intr,intr,intr,tr,tr,intr,intr,tr,intr,intr,intr,intr,intr
dream,intr,intr,unknown,intr,unknown,intr,intr,tr,intr,intr,unknown,tr,intr,unknown,intr,intr,unknown,unknown,unknown,intr,tr,intr,intr,intr,intr,intr,unknown,unknown,intr,tr,intr,intr,tr,unknown,intr,intr,tr,intr
wash,tr,tr,unknown,tr,tr,tr,tr,tr,tr,tr,unknown,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr
put_on,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,unknown,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr
be_called,intr,intr,intr,intr,unknown,intr,intr,intr,tr,intr,intr,intr,intr,unknown,unknown,intr,intr,unknown,unknown,intr,intr,unknown,intr,intr,intr,intr,tr,intr,unknown,tr,intr,unknown,unknown,intr,intr,intr,intr,tr
punish,tr,tr,tr,intr,unknown,intr,intr,tr,tr,tr,unknown,tr,tr,tr,intr,tr,tr,unknown,intr,tr,tr,tr,tr,tr,intr,tr,tr,unknown,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr
attack,intr,tr,tr,intr,unknown,intr,intr,intr,intr,tr,unknown,tr,tr,intr,unknown,intr,intr,intr,tr,intr,intr,intr,tr,tr,tr,intr,intr,intr,tr,tr,intr,tr,tr,intr,intr,tr,tr,tr
fill#intr#,intr,intr,unknown,intr,unknown,intr,intr,intr,intr,intr,intr,intr,intr,intr,tr,intr,intr,intr,intr,intr,tr,intr,intr,intr,intr,intr,intr,intr,intr,unknown,intr,intr,intr,intr,intr,intr,intr,intr
find,tr,tr,tr,tr,intr,tr,tr,tr,tr,tr,intr,tr,tr,tr,unknown,tr,tr,tr,tr,intr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,unknown,tr,tr,tr,tr
be_shortr,intr,intr,intr,unknown,unknown,intr,unknown,intr,intr,intr,intr,intr,intr,unknown,tr,unknown,intr,unknown,unknown,intr,intr,intr,intr,intr,unknown,intr,intr,intr,tr,tr,intr,tr,intr,intr,intr,intr,intr,tr
hate,tr,tr,unknown,unknown,unknown,tr,intr,tr,tr,tr,intr,unknown,intr,unknown,unknown,unknown,tr,unknown,tr,intr,tr,tr,tr,tr,intr,tr,intr,tr,tr,tr,intr,tr,tr,tr,intr,tr,tr,tr
like,intr,tr,unknown,unknown,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,unknown,unknown,intr,intr,intr,intr,intr,intr,intr,intr,intr,tr,intr,intr,tr,tr,intr,unknown,intr,intr,intr,intr,tr,tr
need,intr,intr,intr,intr,unknown,intr,intr,tr,intr,tr,unknown,intr,intr,intr,tr,intr,intr,unknown,intr,intr,tr,intr,intr,tr,intr,intr,intr,intr,tr,tr,intr,unknown,intr,intr,unknown,intr,tr,tr
surround,tr,tr,unknown,intr,unknown,tr,intr,tr,tr,tr,unknown,tr,tr,tr,unknown,tr,tr,intr,unknown,tr,tr,tr,tr,tr,unknown,tr,tr,tr,tr,tr,tr,tr,tr,tr,unknown,intr,tr,tr
remain,intr,intr,intr,unknown,intr,intr,intr,intr,intr,unknown,unknown,intr,intr,intr,tr,intr,intr,unknown,intr,intr,intr,intr,intr,intr,intr,unknown,intr,intr,unknown,tr,intr,tr,intr,intr,intr,intr,intr,unknown
answer,intr,tr,tr,intr,unknown,intr,intr,intr,intr,intr,intr,intr,intr,intr,unknown,intr,intr,unknown,tr,intr,intr,intr,intr,intr,tr,intr,intr,unknown,tr,tr,intr,tr,intr,intr,intr,intr,intr,tr
open,tr,tr,unknown,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,unknown,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,intr,tr
be_differentr,intr,intr,unknown,intr,unknown,intr,intr,unknown,intr,intr,unknown,intr,intr,intr,intr,intr,intr,intr,unknown,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr,intr
fall_behind,intr,intr,unknown,intr,unknown,intr,unknown,unknown,intr,intr,unknown,intr,intr,intr,unknown,unknown,intr,intr,intr,intr,intr,intr,intr,unknown,intr,intr,intr,intr,unknown,unknown,unknown,intr,unknown,intr,intr,intr,intr,intr
plough,tr,tr,unknown,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,unknown,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr,tr
